'Elapsed time','ECG'
'0:00.000',-0.053
'0:00.005',-0.103
'0:00.010',0.006
'0:00.015',0.058
'0:00.020',-0.064
'0:00.025',-0.066
'0:00.030',0.062
'0:00.035',-0.029
'0:00.040',-0.101
'0:00.045',0.048
'0:00.050',0.038
'0:00.055',-0.098
'0:00.060',-0.001
'0:00.065',0.079
'0:00.070',-0.066
'0:00.075',-0.054
'0:00.080',0.086
'0:00.085',-0.010
'0:00.090',-0.090
'0:00.095',0.055
'0:00.100',0.045
'0:00.105',-0.090
'0:00.110',0.010
'0:00.115',0.088
'0:00.120',-0.054
'0:00.125',-0.041
'0:00.130',0.094
'0:00.135',-0.005
'0:00.140',-0.085
'0:00.145',0.058
'0:00.150',0.049
'0:00.155',-0.086
'0:00.160',0.010
'0:00.165',0.092
'0:00.170',-0.052
'0:00.175',-0.043
'0:00.180',0.097
'0:00.185',0.001
'0:00.190',-0.079
'0:00.195',0.067
'0:00.200',0.059
'0:00.205',-0.076
'0:00.210',0.019
'0:00.215',0.095
'0:00.220',-0.050
'0:00.225',-0.041
'0:00.230',0.098
'0:00.235',0.003
'0:00.240',-0.076
'0:00.245',0.074
'0:00.250',0.063
'0:00.255',-0.086
'0:00.260',0.005
'0:00.265',0.092
'0:00.270',-0.050
'0:00.275',-0.044
'0:00.280',0.096
'0:00.285',0.003
'0:00.290',-0.080
'0:00.295',0.064
'0:00.300',0.058
'0:00.305',-0.081
'0:00.310',0.012
'0:00.315',0.095
'0:00.320',-0.050
'0:00.325',-0.042
'0:00.330',0.098
'0:00.335',0.002
'0:00.340',-0.083
'0:00.345',0.062
'0:00.350',0.058
'0:00.355',-0.080
'0:00.360',0.017
'0:00.365',0.103
'0:00.370',-0.049
'0:00.375',-0.052
'0:00.380',0.091
'0:00.385',0.002
'0:00.390',-0.083
'0:00.395',0.062
'0:00.400',0.061
'0:00.405',-0.078
'0:00.410',0.015
'0:00.415',0.100
'0:00.420',-0.043
'0:00.425',-0.037
'0:00.430',0.103
'0:00.435',0.009
'0:00.440',-0.078
'0:00.445',0.063
'0:00.450',0.058
'0:00.455',-0.084
'0:00.460',0.002
'0:00.465',0.084
'0:00.470',-0.057
'0:00.475',-0.048
'0:00.480',0.094
'0:00.485',0.001
'0:00.490',-0.086
'0:00.495',0.054
'0:00.500',0.053
'0:00.505',-0.084
'0:00.510',0.007
'0:00.515',0.093
'0:00.520',-0.048
'0:00.525',-0.047
'0:00.530',0.091
'0:00.535',-0.002
'0:00.540',-0.097
'0:00.545',0.038
'0:00.550',0.044
'0:00.555',-0.062
'0:00.560',0.099
'0:00.565',0.270
'0:00.570',0.188
'0:00.575',0.237
'0:00.580',0.361
'0:00.585',0.133
'0:00.590',-0.090
'0:00.595',-0.021
'0:00.600',-0.062
'0:00.605',-0.185
'0:00.610',-0.076
'0:00.615',0.004
'0:00.620',-0.135
'0:00.625',-0.130
'0:00.630',0.015
'0:00.635',-0.065
'0:00.640',-0.147
'0:00.645',-0.002
'0:00.650',0.003
'0:00.655',-0.134
'0:00.660',-0.045
'0:00.665',0.048
'0:00.670',-0.089
'0:00.675',-0.089
'0:00.680',0.053
'0:00.685',-0.030
'0:00.690',-0.115
'0:00.695',0.033
'0:00.700',0.040
'0:00.705',-0.107
'0:00.710',-0.022
'0:00.715',0.072
'0:00.720',-0.066
'0:00.725',-0.064
'0:00.730',0.081
'0:00.735',-0.002
'0:00.740',-0.094
'0:00.745',0.042
'0:00.750',0.045
'0:00.755',-0.095
'0:00.760',-0.010
'0:00.765',0.081
'0:00.770',-0.059
'0:00.775',-0.065
'0:00.780',0.077
'0:00.785',-0.008
'0:00.790',-0.098
'0:00.795',0.044
'0:00.800',0.047
'0:00.805',-0.096
'0:00.810',-0.010
'0:00.815',0.082
'0:00.820',-0.055
'0:00.825',-0.054
'0:00.830',0.087
'0:00.835',-0.004
'0:00.840',-0.095
'0:00.845',0.049
'0:00.850',0.054
'0:00.855',-0.089
'0:00.860',-0.004
'0:00.865',0.087
'0:00.870',-0.059
'0:00.875',-0.067
'0:00.880',0.078
'0:00.885',-0.006
'0:00.890',-0.100
'0:00.895',0.040
'0:00.900',0.046
'0:00.905',-0.099
'0:00.910',-0.016
'0:00.915',0.076
'0:00.920',-0.063
'0:00.925',-0.067
'0:00.930',0.081
'0:00.935',0.004
'0:00.940',-0.085
'0:00.945',0.057
'0:00.950',0.063
'0:00.955',-0.088
'0:00.960',-0.012
'0:00.965',0.090
'0:00.970',-0.035
'0:00.975',-0.037
'0:00.980',0.108
'0:00.985',0.027
'0:00.990',-0.068
'0:00.995',0.066
'0:01.000',0.067
'0:01.005',-0.078
'0:01.010',0.004
'0:01.015',0.097
'0:01.020',-0.043
'0:01.025',-0.053
'0:01.030',0.091
'0:01.035',0.012
'0:01.040',-0.084
'0:01.045',0.055
'0:01.050',0.065
'0:01.055',-0.078
'0:01.060',0.005
'0:01.065',0.096
'0:01.070',-0.048
'0:01.075',-0.055
'0:01.080',0.091
'0:01.085',0.010
'0:01.090',-0.086
'0:01.095',0.053
'0:01.100',0.067
'0:01.105',-0.076
'0:01.110',-0.002
'0:01.115',0.089
'0:01.120',-0.047
'0:01.125',-0.052
'0:01.130',0.094
'0:01.135',0.014
'0:01.140',-0.082
'0:01.145',0.056
'0:01.150',0.068
'0:01.155',-0.076
'0:01.160',0.001
'0:01.165',0.097
'0:01.170',-0.040
'0:01.175',-0.052
'0:01.180',0.093
'0:01.185',0.015
'0:01.190',-0.083
'0:01.195',0.052
'0:01.200',0.064
'0:01.205',-0.078
'0:01.210',-0.002
'0:01.215',0.095
'0:01.220',-0.038
'0:01.225',-0.051
'0:01.230',0.093
'0:01.235',0.021
'0:01.240',-0.076
'0:01.245',0.052
'0:01.250',0.060
'0:01.255',-0.079
'0:01.260',0.000
'0:01.265',0.097
'0:01.270',-0.038
'0:01.275',-0.054
'0:01.280',0.092
'0:01.285',0.021
'0:01.290',-0.078
'0:01.295',0.053
'0:01.300',0.065
'0:01.305',-0.079
'0:01.310',-0.004
'0:01.315',0.095
'0:01.320',-0.041
'0:01.325',-0.056
'0:01.330',0.092
'0:01.335',0.019
'0:01.340',-0.082
'0:01.345',0.052
'0:01.350',0.069
'0:01.355',-0.078
'0:01.360',-0.006
'0:01.365',0.095
'0:01.370',-0.040
'0:01.375',-0.062
'0:01.380',0.081
'0:01.385',0.009
'0:01.390',-0.089
'0:01.395',0.048
'0:01.400',0.063
'0:01.405',-0.084
'0:01.410',-0.012
'0:01.415',0.091
'0:01.420',-0.042
'0:01.425',-0.065
'0:01.430',0.076
'0:01.435',0.010
'0:01.440',-0.088
'0:01.445',0.045
'0:01.450',0.063
'0:01.455',-0.086
'0:01.460',-0.017
'0:01.465',0.087
'0:01.470',-0.043
'0:01.475',-0.061
'0:01.480',0.083
'0:01.485',0.010
'0:01.490',-0.093
'0:01.495',0.043
'0:01.500',0.067
'0:01.505',-0.076
'0:01.510',-0.012
'0:01.515',0.081
'0:01.520',-0.056
'0:01.525',-0.076
'0:01.530',0.068
'0:01.535',-0.001
'0:01.540',-0.102
'0:01.545',0.036
'0:01.550',0.061
'0:01.555',-0.087
'0:01.560',-0.024
'0:01.565',0.080
'0:01.570',-0.050
'0:01.575',-0.072
'0:01.580',0.077
'0:01.585',0.010
'0:01.590',-0.094
'0:01.595',0.041
'0:01.600',0.065
'0:01.605',-0.082
'0:01.610',-0.023
'0:01.615',0.068
'0:01.620',-0.063
'0:01.625',-0.055
'0:01.630',0.159
'0:01.635',0.183
'0:01.640',0.153
'0:01.645',0.337
'0:01.650',0.365
'0:01.655',0.100
'0:01.660',0.006
'0:01.665',0.020
'0:01.670',-0.163
'0:01.675',-0.188
'0:01.680',-0.010
'0:01.685',-0.070
'0:01.690',-0.178
'0:01.695',-0.045
'0:01.700',-0.017
'0:01.705',-0.158
'0:01.710',-0.087
'0:01.715',0.025
'0:01.720',-0.101
'0:01.725',-0.123
'0:01.730',0.027
'0:01.735',-0.034
'0:01.740',-0.135
'0:01.745',-0.001
'0:01.750',0.029
'0:01.755',-0.116
'0:01.760',-0.051
'0:01.765',0.060
'0:01.770',-0.068
'0:01.775',-0.090
'0:01.780',0.063
'0:01.785',0.001
'0:01.790',-0.110
'0:01.795',0.022
'0:01.800',0.059
'0:01.805',-0.082
'0:01.810',-0.025
'0:01.815',0.078
'0:01.820',-0.048
'0:01.825',-0.073
'0:01.830',0.074
'0:01.835',0.014
'0:01.840',-0.092
'0:01.845',0.039
'0:01.850',0.070
'0:01.855',-0.079
'0:01.860',-0.022
'0:01.865',0.086
'0:01.870',-0.043
'0:01.875',-0.072
'0:01.880',0.077
'0:01.885',0.020
'0:01.890',-0.085
'0:01.895',0.042
'0:01.900',0.069
'0:01.905',-0.082
'0:01.910',-0.026
'0:01.915',0.086
'0:01.920',-0.037
'0:01.925',-0.071
'0:01.930',0.070
'0:01.935',0.012
'0:01.940',-0.093
'0:01.945',0.030
'0:01.950',0.054
'0:01.955',-0.090
'0:01.960',-0.025
'0:01.965',0.087
'0:01.970',-0.038
'0:01.975',-0.066
'0:01.980',0.083
'0:01.985',0.025
'0:01.990',-0.085
'0:01.995',0.039
'0:02.000',0.071
'0:02.005',-0.072
'0:02.010',-0.010
'0:02.015',0.102
'0:02.020',-0.025
'0:02.025',-0.054
'0:02.030',0.095
'0:02.035',0.034
'0:02.040',-0.080
'0:02.045',0.046
'0:02.050',0.079
'0:02.055',-0.068
'0:02.060',-0.006
'0:02.065',0.112
'0:02.070',-0.019
'0:02.075',-0.066
'0:02.080',0.079
'0:02.085',0.027
'0:02.090',-0.085
'0:02.095',0.037
'0:02.100',0.072
'0:02.105',-0.071
'0:02.110',-0.019
'0:02.115',0.087
'0:02.120',-0.043
'0:02.125',-0.082
'0:02.130',0.065
'0:02.135',0.012
'0:02.140',-0.099
'0:02.145',0.030
'0:02.150',0.074
'0:02.155',-0.066
'0:02.160',-0.011
'0:02.165',0.103
'0:02.170',-0.021
'0:02.175',-0.058
'0:02.180',0.090
'0:02.185',0.036
'0:02.190',-0.078
'0:02.195',0.047
'0:02.200',0.089
'0:02.205',-0.056
'0:02.210',-0.013
'0:02.215',0.093
'0:02.220',-0.026
'0:02.225',-0.062
'0:02.230',0.087
'0:02.235',0.036
'0:02.240',-0.079
'0:02.245',0.043
'0:02.250',0.078
'0:02.255',-0.070
'0:02.260',-0.016
'0:02.265',0.098
'0:02.270',-0.025
'0:02.275',-0.064
'0:02.280',0.080
'0:02.285',0.028
'0:02.290',-0.085
'0:02.295',0.038
'0:02.300',0.075
'0:02.305',-0.074
'0:02.310',-0.024
'0:02.315',0.094
'0:02.320',-0.027
'0:02.325',-0.068
'0:02.330',0.083
'0:02.335',0.036
'0:02.340',-0.089
'0:02.345',0.027
'0:02.350',0.069
'0:02.355',-0.075
'0:02.360',-0.023
'0:02.365',0.093
'0:02.370',-0.030
'0:02.375',-0.074
'0:02.380',0.072
'0:02.385',0.024
'0:02.390',-0.089
'0:02.395',0.034
'0:02.400',0.071
'0:02.405',-0.074
'0:02.410',-0.024
'0:02.415',0.091
'0:02.420',-0.027
'0:02.425',-0.069
'0:02.430',0.076
'0:02.435',0.025
'0:02.440',-0.095
'0:02.445',0.025
'0:02.450',0.072
'0:02.455',-0.071
'0:02.460',-0.022
'0:02.465',0.097
'0:02.470',-0.021
'0:02.475',-0.067
'0:02.480',0.079
'0:02.485',0.030
'0:02.490',-0.097
'0:02.495',0.021
'0:02.500',0.075
'0:02.505',-0.068
'0:02.510',-0.023
'0:02.515',0.095
'0:02.520',-0.022
'0:02.525',-0.064
'0:02.530',0.081
'0:02.535',0.030
'0:02.540',-0.094
'0:02.545',0.020
'0:02.550',0.063
'0:02.555',-0.084
'0:02.560',-0.037
'0:02.565',0.082
'0:02.570',-0.036
'0:02.575',-0.082
'0:02.580',0.066
'0:02.585',0.025
'0:02.590',-0.095
'0:02.595',0.024
'0:02.600',0.074
'0:02.605',-0.068
'0:02.610',-0.027
'0:02.615',0.089
'0:02.620',-0.026
'0:02.625',-0.073
'0:02.630',0.068
'0:02.635',0.024
'0:02.640',-0.102
'0:02.645',0.008
'0:02.650',0.072
'0:02.655',-0.022
'0:02.660',0.100
'0:02.665',0.284
'0:02.670',0.207
'0:02.675',0.178
'0:02.680',0.250
'0:02.685',0.061
'0:02.690',-0.158
'0:02.695',-0.098
'0:02.700',-0.068
'0:02.705',-0.181
'0:02.710',-0.119
'0:02.715',-0.001
'0:02.720',-0.118
'0:02.725',-0.162
'0:02.730',-0.011
'0:02.735',-0.046
'0:02.740',-0.156
'0:02.745',-0.036
'0:02.750',0.019
'0:02.755',-0.120
'0:02.760',-0.079
'0:02.765',0.044
'0:02.770',-0.068
'0:02.775',-0.117
'0:02.780',0.033
'0:02.785',-0.001
'0:02.790',-0.118
'0:02.795',0.001
'0:02.800',0.057
'0:02.805',-0.086
'0:02.810',-0.047
'0:02.815',0.078
'0:02.820',-0.032
'0:02.825',-0.080
'0:02.830',0.068
'0:02.835',0.030
'0:02.840',-0.090
'0:02.845',0.026
'0:02.850',0.080
'0:02.855',-0.062
'0:02.860',-0.020
'0:02.865',0.104
'0:02.870',-0.006
'0:02.875',-0.053
'0:02.880',0.097
'0:02.885',0.061
'0:02.890',-0.065
'0:02.895',0.040
'0:02.900',0.086
'0:02.905',-0.062
'0:02.910',-0.026
'0:02.915',0.092
'0:02.920',-0.025
'0:02.925',-0.075
'0:02.930',0.074
'0:02.935',0.038
'0:02.940',-0.086
'0:02.945',0.029
'0:02.950',0.085
'0:02.955',-0.061
'0:02.960',-0.026
'0:02.965',0.094
'0:02.970',-0.018
'0:02.975',-0.071
'0:02.980',0.064
'0:02.985',0.021
'0:02.990',-0.101
'0:02.995',0.010
'0:03.000',0.064
'0:03.005',-0.079
'0:03.010',-0.044
'0:03.015',0.080
'0:03.020',-0.027
'0:03.025',-0.076
'0:03.030',0.071
'0:03.035',0.037
'0:03.040',-0.088
'0:03.045',0.019
'0:03.050',0.076
'0:03.055',-0.064
'0:03.060',-0.029
'0:03.065',0.096
'0:03.070',-0.015
'0:03.075',-0.071
'0:03.080',0.075
'0:03.085',0.041
'0:03.090',-0.083
'0:03.095',0.026
'0:03.100',0.083
'0:03.105',-0.062
'0:03.110',-0.030
'0:03.115',0.095
'0:03.120',-0.016
'0:03.125',-0.073
'0:03.130',0.073
'0:03.135',0.040
'0:03.140',-0.088
'0:03.145',0.022
'0:03.150',0.084
'0:03.155',-0.059
'0:03.160',-0.028
'0:03.165',0.094
'0:03.170',-0.016
'0:03.175',-0.072
'0:03.180',0.073
'0:03.185',0.036
'0:03.190',-0.090
'0:03.195',0.026
'0:03.200',0.085
'0:03.205',-0.061
'0:03.210',-0.029
'0:03.215',0.094
'0:03.220',-0.019
'0:03.225',-0.077
'0:03.230',0.069
'0:03.235',0.040
'0:03.240',-0.081
'0:03.245',0.026
'0:03.250',0.083
'0:03.255',-0.062
'0:03.260',-0.034
'0:03.265',0.094
'0:03.270',-0.014
'0:03.275',-0.077
'0:03.280',0.069
'0:03.285',0.041
'0:03.290',-0.089
'0:03.295',0.022
'0:03.300',0.088
'0:03.305',-0.062
'0:03.310',-0.038
'0:03.315',0.093
'0:03.320',-0.011
'0:03.325',-0.075
'0:03.330',0.065
'0:03.335',0.037
'0:03.340',-0.089
'0:03.345',0.018
'0:03.350',0.083
'0:03.355',-0.058
'0:03.360',-0.031
'0:03.365',0.095
'0:03.370',-0.013
'0:03.375',-0.079
'0:03.380',0.068
'0:03.385',0.041
'0:03.390',-0.090
'0:03.395',0.016
'0:03.400',0.084
'0:03.405',-0.060
'0:03.410',-0.037
'0:03.415',0.093
'0:03.420',-0.011
'0:03.425',-0.074
'0:03.430',0.071
'0:03.435',0.045
'0:03.440',-0.090
'0:03.445',0.012
'0:03.450',0.081
'0:03.455',-0.059
'0:03.460',-0.035
'0:03.465',0.089
'0:03.470',-0.014
'0:03.475',-0.076
'0:03.480',0.063
'0:03.485',0.036
'0:03.490',-0.091
'0:03.495',0.021
'0:03.500',0.087
'0:03.505',-0.063
'0:03.510',-0.043
'0:03.515',0.089
'0:03.520',-0.012
'0:03.525',-0.077
'0:03.530',0.068
'0:03.535',0.043
'0:03.540',-0.092
'0:03.545',0.008
'0:03.550',0.073
'0:03.555',-0.071
'0:03.560',-0.047
'0:03.565',0.085
'0:03.570',-0.016
'0:03.575',-0.083
'0:03.580',0.064
'0:03.585',0.045
'0:03.590',-0.089
'0:03.595',0.015
'0:03.600',0.088
'0:03.605',-0.058
'0:03.610',-0.043
'0:03.615',0.089
'0:03.620',-0.011
'0:03.625',-0.081
'0:03.630',0.062
'0:03.635',0.033
'0:03.640',-0.106
'0:03.645',0.010
'0:03.650',0.118
'0:03.655',0.042
'0:03.660',0.124
'0:03.665',0.286
'0:03.670',0.206
'0:03.675',0.095
'0:03.680',0.114
'0:03.685',0.007
'0:03.690',-0.169
'0:03.695',-0.094
'0:03.700',-0.001
'0:03.705',-0.125
'0:03.710',-0.104
'0:03.715',0.032
'0:03.720',-0.071
'0:03.725',-0.143
'0:03.730',0.009
'0:03.735',0.002
'0:03.740',-0.125
'0:03.745',-0.029
'0:03.750',0.036
'0:03.755',-0.106
'0:03.760',-0.080
'0:03.765',0.059
'0:03.770',-0.039
'0:03.775',-0.105
'0:03.780',0.040
'0:03.785',0.020
'0:03.790',-0.109
'0:03.795',-0.004
'0:03.800',0.070
'0:03.805',-0.072
'0:03.810',-0.052
'0:03.815',0.084
'0:03.820',-0.014
'0:03.825',-0.087
'0:03.830',0.055
'0:03.835',0.038
'0:03.840',-0.095
'0:03.845',0.007
'0:03.850',0.082
'0:03.855',-0.055
'0:03.860',-0.033
'0:03.865',0.103
'0:03.870',0.006
'0:03.875',-0.065
'0:03.880',0.082
'0:03.885',0.067
'0:03.890',-0.072
'0:03.895',0.020
'0:03.900',0.083
'0:03.905',-0.068
'0:03.910',-0.053
'0:03.915',0.083
'0:03.920',-0.014
'0:03.925',-0.087
'0:03.930',0.061
'0:03.935',0.045
'0:03.940',-0.095
'0:03.945',-0.001
'0:03.950',0.077
'0:03.955',-0.064
'0:03.960',-0.057
'0:03.965',0.075
'0:03.970',-0.021
'0:03.975',-0.099
'0:03.980',0.043
'0:03.985',0.028
'0:03.990',-0.107
'0:03.995',-0.008
'0:04.000',0.069
'0:04.005',-0.075
'0:04.010',-0.062
'0:04.015',0.078
'0:04.020',-0.015
'0:04.025',-0.089
'0:04.030',0.059
'0:04.035',0.047
'0:04.040',-0.087
'0:04.045',0.014
'0:04.050',0.094
'0:04.055',-0.050
'0:04.060',-0.046
'0:04.065',0.086
'0:04.070',-0.007
'0:04.075',-0.080
'0:04.080',0.065
'0:04.085',0.056
'0:04.090',-0.083
'0:04.095',0.007
'0:04.100',0.082
'0:04.105',-0.061
'0:04.110',-0.049
'0:04.115',0.092
'0:04.120',-0.004
'0:04.125',-0.087
'0:04.130',0.054
'0:04.135',0.046
'0:04.140',-0.090
'0:04.145',0.002
'0:04.150',0.083
'0:04.155',-0.058
'0:04.160',-0.050
'0:04.165',0.088
'0:04.170',-0.006
'0:04.175',-0.088
'0:04.180',0.056
'0:04.185',0.049
'0:04.190',-0.084
'0:04.195',0.019
'0:04.200',0.104
'0:04.205',-0.039
'0:04.210',-0.028
'0:04.215',0.111
'0:04.220',0.014
'0:04.225',-0.064
'0:04.230',0.084
'0:04.235',0.071
'0:04.240',-0.073
'0:04.245',0.022
'0:04.250',0.108
'0:04.255',-0.034
'0:04.260',-0.029
'0:04.265',0.107
'0:04.270',0.013
'0:04.275',-0.071
'0:04.280',0.072
'0:04.285',0.066
'0:04.290',-0.071
'0:04.295',0.021
'0:04.300',0.100
'0:04.305',-0.048
'0:04.310',-0.043
'0:04.315',0.098
'0:04.320',0.004
'0:04.325',-0.078
'0:04.330',0.067
'0:04.335',0.058
'0:04.340',-0.085
'0:04.345',0.007
'0:04.350',0.091
'0:04.355',-0.054
'0:04.360',-0.049
'0:04.365',0.093
'0:04.370',0.000
'0:04.375',-0.085
'0:04.380',0.060
'0:04.385',0.060
'0:04.390',-0.081
'0:04.395',0.004
'0:04.400',0.081
'0:04.405',-0.063
'0:04.410',-0.057
'0:04.415',0.085
'0:04.420',-0.003
'0:04.425',-0.085
'0:04.430',0.059
'0:04.435',0.056
'0:04.440',-0.086
'0:04.445',0.002
'0:04.450',0.086
'0:04.455',-0.058
'0:04.460',-0.056
'0:04.465',0.084
'0:04.470',-0.007
'0:04.475',-0.090
'0:04.480',0.054
'0:04.485',0.051
'0:04.490',-0.093
'0:04.495',-0.003
'0:04.500',0.081
'0:04.505',-0.065
'0:04.510',-0.065
'0:04.515',0.077
'0:04.520',-0.014
'0:04.525',-0.103
'0:04.530',0.041
'0:04.535',0.040
'0:04.540',-0.102
'0:04.545',-0.011
'0:04.550',0.076
'0:04.555',-0.064
'0:04.560',-0.059
'0:04.565',0.079
'0:04.570',-0.015
'0:04.575',-0.101
'0:04.580',0.046
'0:04.585',0.047
'0:04.590',-0.094
'0:04.595',-0.008
'0:04.600',0.073
'0:04.605',-0.077
'0:04.610',-0.080
'0:04.615',0.085
'0:04.620',0.056
'0:04.625',0.035
'0:04.630',0.214
'0:04.635',0.248
'0:04.640',0.126
'0:04.645',0.130
'0:04.650',0.098
'0:04.655',-0.103
'0:04.660',-0.139
'0:04.665',0.000
'0:04.670',-0.063
'0:04.675',-0.147
'0:04.680',-0.010
'0:04.685',-0.003
'0:04.690',-0.142
'0:04.695',-0.056
'0:04.700',0.037
'0:04.705',-0.098
'0:04.710',-0.099
'0:04.715',0.050
'0:04.720',-0.029
'0:04.725',-0.120
'0:04.730',0.020
'0:04.735',0.025
'0:04.740',-0.114
'0:04.745',-0.027
'0:04.750',0.066
'0:04.755',-0.071
'0:04.760',-0.071
'0:04.765',0.074
'0:04.770',-0.011
'0:04.775',-0.100
'0:04.780',0.047
'0:04.785',0.055
'0:04.790',-0.088
'0:04.795',-0.003
'0:04.800',0.086
'0:04.805',-0.053
'0:04.810',-0.057
'0:04.815',0.085
'0:04.820',0.003
'0:04.825',-0.090
'0:04.830',0.051
'0:04.835',0.060
'0:04.840',-0.084
'0:04.845',-0.008
'0:04.850',0.081
'0:04.855',-0.053
'0:04.860',-0.055
'0:04.865',0.086
'0:04.870',-0.002
'0:04.875',-0.096
'0:04.880',0.049
'0:04.885',0.060
'0:04.890',-0.081
'0:04.895',0.005
'0:04.900',0.099
'0:04.905',-0.043
'0:04.910',-0.053
'0:04.915',0.091
'0:04.920',0.010
'0:04.925',-0.085
'0:04.930',0.051
'0:04.935',0.058
'0:04.940',-0.086
'0:04.945',-0.006
'0:04.950',0.084
'0:04.955',-0.060
'0:04.960',-0.074
'0:04.965',0.077
'0:04.970',0.011
'0:04.975',-0.080
'0:04.980',0.062
'0:04.985',0.075
'0:04.990',-0.069
